input_cov001, -1.0658141036401503e-14
input_cov002, 1.2634739430595712
input_cov003, 1.9309671904969452
input_cov004, 1.6361072227578557
input_cov005, 1.5502816771032588
input_cov006, 1.235407214808582
input_cov007, 1.8477384472407952
input_cov008, 1.7014357480853377
input_cov009, 1.3534960971175316
input_cov010, 1.5761241304647928
input_cov011, 1.5998035110085791
input_cov012, 1.7778795242203405
input_cov013, 1.1101621493051148
input_cov014, 0.81711002828584434
input_cov015, 1.2799506926516671
input_cov016, 1.5283178169037317
input_cov017, 1.5560333238091317
input_cov018, 1.4182058839819458
input_cov019, 2.1022303531827173
input_cov020, 1.8547133218349003
input_cov021, 1.101825999701294
